       R66         R(55,61)       0.38                10.50
       R63         R(52,59)       0.29                 8.20
       R60         R(50,56)       0.10                 2.90
Mode 169:    2979.69  119.5
      Name       Definition      Value  Relative Weight (%)
       R63         R(52,59)      -0.70                17.70
       R66         R(55,61)       0.65                16.40
       R67         R(55,62)      -0.32                 8.10
       R64         R(52,60)       0.28                 7.10
       R58         R(49,54)      -0.26                 6.50
Mode 170:    2983.50   66.6
      Name       Definition      Value  Relative Weight (%)
       R66         R(55,61)      -0.60                14.10
       R63         R(52,59)      -0.57                13.50
       R69         R(58,64)      -0.37                 8.60
       R67         R(55,62)       0.34                 8.10
       R68         R(58,63)       0.31                 7.30
Mode 171:    2987.24   66.2
      Name       Definition      Value  Relative Weight (%)
       R58         R(49,54)      -0.76                18.90
       R57         R(49,53)       0.60                15.00
       R61         R(50,57)       0.33                 8.20
       R63         R(52,59)       0.23                 5.80
       R64         R(52,60)      -0.23                 5.70
Mode 172:    2992.44  144.6
      Name       Definition      Value  Relative Weight (%)
       R61         R(50,57)       0.82                21.60
       R60         R(50,56)      -0.56                14.50
       R58         R(49,54)       0.27                 7.10
       R57         R(49,53)      -0.22                 5.70
       R55         R(48,51)       0.19                 5.00
Mode 175:    3059.28   32.3
      Name       Definition      Value  Relative Weight (%)
       R46         R(34,37)      -0.98                43.40
       R44         R(34,35)       0.40                17.60
       R45         R(34,36)       0.30                13.10
      D121   D(26,27,34,36)      -0.05                 2.10
       A70      A(27,34,37)       0.05                 2.00
Mode 176:    3060.24   24.1
      Name       Definition      Value  Relative Weight (%)
       R41         R(30,31)       1.02                45.80
       R43         R(30,33)      -0.35                15.80
       R42         R(30,32)      -0.23                10.20
       A62      A(25,30,31)      -0.04                 2.00
      D108   D(24,25,30,32)      -0.04                 2.00
Mode 179:    3104.03   36.5
      Name       Definition      Value  Relative Weight (%)
       R39         R(26,29)      -1.08                59.40
       R35         R(24,28)       0.10                 5.70
       A56      A(25,26,27)      -0.06                 3.20
       R38         R(26,27)       0.05                 2.60
       R36         R(25,26)       0.04                 2.30
Mode 182:    3115.04   33.2
      Name       Definition      Value  Relative Weight (%)
        R7           R(3,8)       0.78                33.10
        R9           R(4,9)       0.68                28.70
       R11          R(5,10)       0.28                12.00
       R35         R(24,28)       0.17                 7.40
        R6           R(3,4)      -0.06                 2.70
Mode 184:    3129.08   46.5
      Name       Definition      Value  Relative Weight (%)
       R22         R(13,18)      -0.81                38.10
       R24         R(14,19)      -0.66                31.10
       R26         R(15,20)      -0.29                13.60
       R21         R(13,14)       0.07                 3.10
       R19         R(12,13)       0.04                 1.70
Mode 185:    3395.94  548.6
      Name       Definition      Value  Relative Weight (%)
       R48         R(40,42)       1.07                72.90
       A77      A(17,40,42)      -0.06                 3.90
       R28         R(17,40)      -0.05                 3.40
       A75      A(11,40,17)       0.05                 3.30
       R18         R(11,40)      -0.04                 2.90
Mode 186:    3457.03  312.5
      Name       Definition      Value  Relative Weight (%)
       R49         R(43,44)      -1.07                74.20
       R15          R(7,43)       0.05                 3.40
       A79        A(1,43,7)      -0.05                 3.30
       A81       A(7,43,44)       0.05                 3.20
        R3          R(1,43)       0.04                 3.00
