       R27         R(20,21)       0.63                30.30
       R29         R(20,23)       0.45                21.70
       R23         R(15,20)      -0.05                 2.40
       A43      A(15,20,23)       0.03                 1.20
Mode 129:    2947.55   99.0
      Name       Definition      Value  Relative Weight (%)
       R40         R(35,38)      -0.79                21.40
       R45         R(37,43)       0.48                12.90
       R46         R(37,44)       0.36                 9.70
       R43         R(36,41)       0.27                 7.30
       R42         R(36,40)       0.21                 5.80
Mode 130:    2952.00   58.9
      Name       Definition      Value  Relative Weight (%)
       R31         R(24,26)      -0.65                31.60
       R30         R(24,25)      -0.64                31.10
       R32         R(24,27)      -0.48                23.20
       R26         R(17,24)       0.05                 2.40
       A49      A(17,24,27)      -0.02                 1.20
Mode 131:    2963.58   77.9
      Name       Definition      Value  Relative Weight (%)
       R35         R(32,33)       1.07                52.80
       R40         R(35,38)       0.11                 5.40
       R43         R(36,41)       0.09                 4.50
       A58       A(6,32,34)       0.06                 2.70
       R36         R(32,34)      -0.05                 2.30
Mode 132:    2974.96  115.1
      Name       Definition      Value  Relative Weight (%)
       R48         R(39,46)      -0.81                20.30
       R51         R(42,48)       0.42                10.40
       R49         R(39,47)       0.40                10.00
       R43         R(36,41)      -0.32                 8.10
       R52         R(42,49)      -0.23                 5.60
Mode 133:    2977.67   87.3
      Name       Definition      Value  Relative Weight (%)
       R51         R(42,48)       0.78                19.30
       R48         R(39,46)       0.45                11.20
       R53         R(45,50)       0.38                 9.30
       R52         R(42,49)      -0.37                 9.10
       R46         R(37,44)       0.25                 6.20
Mode 134:    2983.89   70.9
      Name       Definition      Value  Relative Weight (%)
       R53         R(45,50)       0.86                22.00
       R54         R(45,51)      -0.50                12.80
       R52         R(42,49)       0.23                 5.80
       R46         R(37,44)      -0.21                 5.40
       R51         R(42,48)      -0.20                 5.20
Mode 135:    2986.23   89.0
      Name       Definition      Value  Relative Weight (%)
       R43         R(36,41)      -0.81                20.50
       R42         R(36,40)       0.59                15.10
       R49         R(39,47)      -0.27                 6.80
       R48         R(39,46)       0.21                 5.30
       R46         R(37,44)       0.17                 4.40
Mode 136:    2991.19  118.9
      Name       Definition      Value  Relative Weight (%)
       R46         R(37,44)       0.85                22.90
       R45         R(37,43)      -0.56                15.10
       R52         R(42,49)       0.27                 7.40
       R51         R(42,48)      -0.19                 5.10
       R53         R(45,50)       0.15                 4.20
Mode 137:    2995.97   31.8
      Name       Definition      Value  Relative Weight (%)
       R28         R(20,22)       0.78                35.90
       R27         R(20,21)      -0.77                35.70
       R29         R(20,23)      -0.07                 3.40
       D72   D(16,15,20,23)      -0.07                 3.20
       A42      A(15,20,22)      -0.05                 2.10
Mode 138:    3006.21   28.7
      Name       Definition      Value  Relative Weight (%)
