       R48         R(38,45)      -0.37                 8.60
       R52         R(41,48)       0.34                 7.80
Mode 134:    2985.36   42.5
      Name       Definition      Value  Relative Weight (%)
       R35         R(31,32)       0.99                33.80
       R46         R(36,43)       0.26                 8.90
       R43         R(35,40)       0.24                 8.30
       R42         R(35,39)      -0.14                 4.80
       R53         R(44,49)       0.13                 4.30
Mode 135:    2987.79  110.3
      Name       Definition      Value  Relative Weight (%)
       R43         R(35,40)      -0.72                17.60
       R42         R(35,39)       0.60                14.70
       R49         R(38,46)      -0.29                 7.00
       R46         R(36,43)       0.27                 6.50
       R48         R(38,45)       0.25                 6.10
Mode 136:    2995.13  136.6
      Name       Definition      Value  Relative Weight (%)
       R46         R(36,43)       0.83                22.50
       R45         R(36,42)      -0.56                15.00
       R35         R(31,32)      -0.32                 8.80
       R52         R(41,48)       0.19                 5.20
       R43         R(35,40)       0.14                 3.70
Mode 139:    3051.05   30.9
      Name       Definition      Value  Relative Weight (%)
       R30         R(20,23)      -1.00                46.40
       R29         R(20,22)       0.35                16.00
       R28         R(20,21)       0.29                13.40
       A45      A(15,20,23)       0.04                 2.10
       D69   D(14,15,20,21)       0.05                 2.10
Mode 140:    3058.31   27.0
      Name       Definition      Value  Relative Weight (%)
       R33         R(24,27)      -0.98                44.90
       R31         R(24,25)       0.41                18.60
       R32         R(24,26)       0.29                13.40
       D80   D(12,17,24,26)      -0.05                 2.10
       A51      A(17,24,27)       0.04                 2.00
Mode 141:    3097.45   20.2
      Name       Definition      Value  Relative Weight (%)
       R26         R(16,19)      -1.08                66.20
       R22         R(14,18)       0.10                 6.30
       A37      A(15,16,17)      -0.06                 3.50
       R25         R(16,17)       0.05                 2.80
       R23         R(15,16)       0.04                 2.70
Mode 146:    3365.50  779.4
      Name       Definition      Value  Relative Weight (%)
       R34         R(29,30)       0.94                48.40
       R16         R(11,51)      -0.51                26.50
       A57       A(7,29,30)      -0.05                 2.80
       R15          R(7,29)      -0.04                 2.20
       A55        A(1,29,7)       0.04                 2.20
Mode 147:    3378.87   56.7
      Name       Definition      Value  Relative Weight (%)
       R16         R(11,51)      -0.94                48.50
       R34         R(29,30)      -0.51                26.50
       A23       A(2,11,51)       0.05                 2.70
       A22        A(2,11,7)      -0.04                 2.20
        R5          R(2,11)       0.04                 2.10
